Update Time,Daily PV Yield (kWh)
2025-02-02 00:00:00,64.8
2025-02-02 06:35:00,0
2025-02-02 06:45:00,0.1
2025-02-02 06:50:00,0.1
2025-02-02 06:55:00,0.2
2025-02-02 07:00:00,0.2
2025-02-02 07:05:00,0.2
2025-02-02 07:10:00,0.3
2025-02-02 07:15:00,0.4
2025-02-02 07:25:00,0.5
2025-02-02 07:30:00,0.6
2025-02-02 07:35:00,0.7
2025-02-02 07:40:00,0.8
2025-02-02 07:45:00,0.9
2025-02-02 07:50:00,1
2025-02-02 07:55:00,1
2025-02-02 08:00:00,1.1
2025-02-02 08:05:00,1.2
2025-02-02 08:10:00,1.3
2025-02-02 08:15:00,1.4
2025-02-02 08:20:00,1.5
2025-02-02 08:25:00,1.7
2025-02-02 08:30:00,1.8
2025-02-02 08:35:00,2
2025-02-02 08:40:00,2.2
2025-02-02 08:45:00,2.4
2025-02-02 08:50:00,2.6
2025-02-02 08:55:00,2.8
2025-02-02 09:00:00,3.1
2025-02-02 09:05:00,3.4
2025-02-02 09:10:00,3.7
2025-02-02 09:15:00,4
2025-02-02 09:20:00,4.3
2025-02-02 09:25:00,4.6
2025-02-02 09:30:00,4.8
2025-02-02 09:35:00,5.1
2025-02-02 09:40:00,5.5
2025-02-02 09:45:00,5.9
2025-02-02 09:50:00,6.3
2025-02-02 09:55:00,6.7
2025-02-02 10:00:00,7.1
2025-02-02 10:05:00,7.5
2025-02-02 10:10:00,7.9
2025-02-02 10:15:00,8.3
2025-02-02 10:20:00,8.9
2025-02-02 10:25:00,9.5
2025-02-02 10:30:00,10.3
2025-02-02 10:35:00,11.1
2025-02-02 10:40:00,11.9
2025-02-02 10:45:00,12.7
2025-02-02 10:50:00,13.5
2025-02-02 11:00:00,15.3
2025-02-02 11:05:00,16.1
2025-02-02 11:10:00,17
2025-02-02 11:15:00,17.9
2025-02-02 11:20:00,18.9
2025-02-02 11:25:00,19.8
2025-02-02 11:30:00,20.8
2025-02-02 11:40:00,22.7
2025-02-02 11:45:00,23.7
2025-02-02 11:50:00,24.7
2025-02-02 11:55:00,25.7
2025-02-02 12:00:00,26.9
2025-02-02 12:05:00,27.9
2025-02-02 12:10:00,29
2025-02-02 12:15:00,30.2
2025-02-02 12:20:00,31.3
2025-02-02 12:25:00,32.3
2025-02-02 12:30:00,33.4
2025-02-02 12:35:00,34.5
2025-02-02 12:40:00,35.6
2025-02-02 12:45:00,36.6
2025-02-02 12:50:00,37.7
2025-02-02 12:55:00,38.8
2025-02-02 13:00:00,39.8
2025-02-02 13:05:00,40.8
2025-02-02 13:10:00,41.9
2025-02-02 13:15:00,43
2025-02-02 13:20:00,44
2025-02-02 13:25:00,44.6
2025-02-02 13:30:00,44.9
2025-02-02 13:35:00,45.4
2025-02-02 13:40:00,45.8
2025-02-02 13:45:00,46.6
2025-02-02 13:50:00,47.7
2025-02-02 13:55:00,48.3
2025-02-02 14:00:00,49.3
2025-02-02 14:05:00,50.3
2025-02-02 14:15:00,52.1
2025-02-02 14:20:00,53
2025-02-02 14:25:00,53.8
2025-02-02 14:30:00,54.7
2025-02-02 14:35:00,55.5
2025-02-02 14:40:00,56.3
2025-02-02 14:45:00,57.2
2025-02-02 14:55:00,58.8
2025-02-02 15:00:00,59.5
2025-02-02 15:05:00,60.3
2025-02-02 15:10:00,61
2025-02-02 15:15:00,61.6
2025-02-02 15:20:00,62.3
2025-02-02 15:25:00,62.9
2025-02-02 15:35:00,64.1
2025-02-02 15:40:00,64.6
2025-02-02 15:45:00,65.2
2025-02-02 15:50:00,65.7
2025-02-02 15:55:00,66.1
2025-02-02 16:00:00,66.6
2025-02-02 16:05:00,67
2025-02-02 16:10:00,67.3
2025-02-02 16:15:00,67.7
2025-02-02 16:20:00,68
2025-02-02 16:25:00,68.3
2025-02-02 16:30:00,68.5
2025-02-02 16:35:00,68.8
2025-02-02 16:40:00,69
2025-02-02 16:45:00,69.2
2025-02-02 16:50:00,69.4
2025-02-02 16:55:00,69.5
2025-02-02 17:00:00,69.7
2025-02-02 17:05:00,69.8
2025-02-02 17:10:00,70
2025-02-02 17:15:00,70.1
2025-02-02 17:20:00,70.1
2025-02-02 17:25:00,70.2
2025-02-02 17:30:00,70.3
2025-02-02 17:35:00,70.4
2025-02-02 17:40:00,70.4
2025-02-02 17:45:00,70.5
2025-02-02 17:50:00,70.5
2025-02-02 17:55:00,70.5
2025-02-02 18:00:00,70.6
2025-02-02 18:05:00,70.6
2025-02-02 18:15:00,70.6
